title ,worldwide gross (m),% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label,horror
Shazam!,366,366%,3.7,100,140,38.4%,226,61.6%,366080049,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=584,https://en.wikipedia.org/wiki/Shazam!_(film),,not horror
Sherlock Holmes,524,582%,5.8,90,209,39.9%,315,60.1%,524028679,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=417,https://www.imdb.com/title/tt0988045/,,not horror
Sherlock Holmes: A Game of Shadows,544,435%,4.4,125,187,34.4%,357,65.6%,543848418,2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=401,https://en.wikipedia.org/wiki/Sherlock_Holmes:_A_Game_of_Shadows,,not horror
Shrek,488,814%,8.1,60,268,54.9%,220,45.1%,488351320,2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=436,"https://www.nytimes.com/2021/05/18/movies/shrek-20th-anniversary.html#:~:text=1%20at%20the%20domestic%20box,Pixar's%20%E2%80%9CMonsters%2C%20Inc.%E2%80%9D",,not horror
Shrek 2,929,619%,6.2,150,441,47.5%,488,52.5%,928760770,2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=264,https://en.wikipedia.org/wiki/Shrek_2,,not horror
Shrek Forever After,753,456%,4.6,165,239,31.7%,514,68.3%,752600867,2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=316,https://en.wikipedia.org/wiki/Shrek_Forever_After,,not horror
Shrek the Third,813,508%,5.1,160,323,39.7%,491,60.3%,813367380,2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=292,"https://en.wikipedia.org/wiki/Shrek_the_Third#:~:text=The%20film%20received%20mixed%20reviews,highest%2Dgrossing%20film%20of%202007.",,not horror
Signs,408,567%,5.7,72,228,55.8%,180,44.2%,408247917,2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=519,https://en.wikipedia.org/wiki/Signs_(2002_film),,horror
Silver Linings Playbook,236,1126%,11.3,21,132.1,55.9%,104.3,44.1%,236412453,2012,2010's,,,,not horror
Sing,634,846%,8.5,75,271,42.7%,364,57.3%,634338384,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=356,"https://en.wikipedia.org/wiki/Sing_(2016_American_film)#:~:text=Reception-,Box%20office,production%20budget%20of%20%2475%20million.",,not horror
Sing 2,407,479%,4.8,85,163,40.0%,245,60.0%,407452213,2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=521,"https://en.wikipedia.org/wiki/Sing_2#:~:text=The%20film%20has%20grossed%20over,highest%2Dgrossing%20film%20of%202021.",,not horror
Sinister,78,2590%,25.9,3,48.1,61.9%,29.6,38.1%,77712439,2012,2010's,,,,horror
Skyfall,1109,554%,5.5,200,304,27.5%,804,72.5%,1108569499,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=230,"https://en.wikipedia.org/wiki/Skyfall#:~:text=The%20film's%20budget%20is%20estimated,and%20the%20Bond%20film%20series.",,not horror
Sleight,4,1572%,15.7,0.25,3.9,100.0%,0,0.0%,3930990,2017,2010's,,,,not horror
Slumdog Millionaire,378,2523%,25.2,15,141,37.4%,237,62.6%,378410542,2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=560,https://en.wikipedia.org/wiki/Slumdog_Millionaire,,not horror
Snow White and the Huntsman,397,233%,2.3,170,155,39.2%,241,60.8%,396592829,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=535,https://en.wikipedia.org/wiki/Snow_White_and_the_Huntsman,,not horror
Solo: A Star Wars Story,393,131%,1.3,300,214,54.4%,179,45.6%,392924807,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=538,https://en.wikipedia.org/wiki/Solo:_A_Star_Wars_Story,,not horror
Sonic the Hedgehog,320,355%,3.6,90,149,46.6%,171,53.4%,319715683,2020,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=681,https://en.wikipedia.org/wiki/Sonic_the_Hedgehog_(film),,not horror
Sonic the Hedgehog 2,403,366%,3.7,110,191,47.4%,212,52.6%,402656846,2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=527,https://en.wikipedia.org/wiki/Sonic_the_Hedgehog_2_(film),,not horror
Spectre,881,294%,2.9,300,200,22.7%,681,77.3%,880705312,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=273,"https://en.wikipedia.org/wiki/Spectre_(2015_film)#:~:text=Following%20the%20Sony%20Pictures%20hack,most%20expensive%20films%20ever%20made.",,not horror
Speed,350,947%,9.5,37,121,34.6%,229,65.4%,350448145,1994,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=622,https://en.wikipedia.org/wiki/Speed_(1994_film),,not horror
Spider-Man,825,594%,5.9,139,407,49.3%,418,50.7%,825025036,2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=287,https://en.wikipedia.org/wiki/Spider-Man_(2002_film),,not horror
Spider-Man 2,789,394%,3.9,200,374,47.4%,415,52.6%,788976453,2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=301,https://en.wikipedia.org/wiki/Spider-Man_2,,not horror
Spider-Man 3,895,358%,3.6,250,337,37.6%,558,62.4%,894983373,2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=270,https://en.wikipedia.org/wiki/Spider-Man_3,,not horror
Spider-Man: Far from Home,1132,707%,7.1,160,391,34.5%,741,65.5%,1131927996,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=226,https://en.wikipedia.org/wiki/Spider-Man:_Far_From_Home,,not horror
Spider-Man: Homecoming,880,503%,5,175,334,38.0%,546,62.0%,880166924,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=274,https://www.google.com/search?q=spider+man+homecoming+budget&ei=ufaNY4fKH-ybhbIP3Z6T6AY&ved=0ahUKEwjHiuGPz-L7AhXsTUEAHV3PBG0Q4dUDCA8&uact=5&oq=spider+man+homecoming+budget&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIKCAAQgAQQRhD7ATIFCAAQgAQyBQgAEIAEMgUIABCABDIGCAAQFhAeMggIABAWEB4QDzIFCAAQhgMyBQgAEIYDMgUIABCGAzoKCAAQRxDWBBCwAzoHCAAQsAMQQzoNCAAQ5AIQ1gQQsAMYAToPCC4Q1AIQyAMQsAMQQxgCOgwILhDIAxCwAxBDGAI6BwguEEMQ6gQ6CggAELEDEIMBEEM6BAgAEEM6EgguEEMQ6gQQ3AQQ3gQQ4AQYAzoFCC4QgARKBAhBGABKBAhGGAFQxgJY2gdg4wloAXABeACAAXGIAa0EkgEDNi4xmAEAoAEByAESwAEB2gEGCAEQARgJ2gEGCAIQARgI2gEGCAMQARgU&sclient=gws-wiz-serp,,not horror
Spider-Man: Into the Spider-Verse,384,427%,4.3,90,190,49.5%,194,50.5%,384256930,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=551,https://en.wikipedia.org/wiki/Spider-Man:_Into_the_Spider-Verse,,not horror
Spider-Man: No Way Home,1971,986%,9.9,200,814,41.3%,1157,58.7%,1971439845,2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=205,https://en.wikipedia.org/wiki/Spider-Man:_No_Way_Home,,not horror
Spirited Away,356,1872%,18.7,19,14,3.9%,342,96.1%,355725195,2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=606,https://en.wikipedia.org/wiki/Spirited_Away,,not horror
Split,278,3092%,30.9,9,138.1,49.6%,140.2,50.4%,278304578,2017,2010's,,,,horror
Star Trek,386,257%,2.6,150,258,66.8%,128,33.2%,385680446,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=548,"https://en.wikipedia.org/wiki/Star_Trek_(film)#:~:text=It%20was%20released%20in%20the,its%20%24150%20million%20production%20budget.",,not horror
Star Trek Beyond,343,186%,1.9,185,159,46.2%,185,53.8%,343471816,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=635,https://en.wikipedia.org/wiki/Star_Trek_Beyond,,not horror
Star Trek Into Darkness,467,246%,2.5,190,229,49.0%,239,51.0%,467365246,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=459,https://en.wikipedia.org/wiki/Star_Trek_Into_Darkness,,not horror
Star Wars,775,7049%,70.5,11,461,59.4%,314,40.6%,775398007,1977,1970's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=305,"https://www.statista.com/statistics/311356/star-wars-production-costs-box-office-revenue/#:~:text=Released%20in%201977%2C%20%22A%20New,around%20775%20million%20U.S.%20dollars.",YES,not horror
Suicide Squad,747,404%,4,185,325,43.5%,422,56.5%,746846894,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=318,"https://en.wikipedia.org/wiki/Suicide_Squad_(film)#:~:text=Suicide%20Squad%20was%20a%20box,including%20advertising%20and%20promotion%20costs).",,not horror
Superman Returns,391,175%,1.8,223,200,51.2%,191,48.8%,391081192,2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=539,https://en.wikipedia.org/wiki/Superman_Returns,,not horror
Taken 2,376,836%,8.4,45,140,37.2%,236,62.8%,376152455,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=563,"https://en.wikipedia.org/wiki/Taken_2#:~:text=Taken%202%20grossed%20%24139.9%20million,a%20budget%20of%20%2445%20million.",,not horror
Taken 3,326,680%,6.8,48,89,27.3%,237,72.7%,326479141,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=667,"https://en.wikipedia.org/wiki/Taken_3#:~:text=of%20skills%22).-,Box%20office,a%20budget%20of%20%2455%20million.",,not horror
Tangled,592,228%,2.3,260,201,33.9%,392,66.1%,592462816,2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=376,"https://mint.intuit.com/blog/trends/the-top-ten-most-expensive-movies-ever-made-0313/#:~:text=Tangled%2C%20which%20was%20a%20retelling,animation%20and%20flashy%20computer%20animation.",,not horror
Tarzan,448,345%,3.4,130,171,38.2%,277,61.8%,448191819,1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=476,https://simple.wikipedia.org/wiki/Tarzan_(1999_movie),,not horror
Ted,549,845%,8.5,65,219,39.8%,331,60.2%,549368315,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=396,https://en.wikipedia.org/wiki/Ted_(film),,not horror
Teenage Mutant Ninja Turtles,485,323%,3.2,150,191,39.4%,294,60.6%,485004754,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=439,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles_(1990_film),,not horror
Tenet,365,183%,1.8,200,59,16.0%,307,84.0%,365294355,2020,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=587,"https://en.wikipedia.org/wiki/Tenet_(film)#:~:text=It%20was%20the%20first%20Hollywood,also%20a%20box%20office%20disappointment.",,not horror
Terminator 2,521,521%,5.2,100,206,39.5%,315,60.5%,520881154,1991,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=421,https://en.wikipedia.org/wiki/Terminator_2:_Judgment_Day,,not horror
Terminator 3,433,232%,2.3,187,150,34.7%,283,65.3%,433371112,2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=488,https://en.wikipedia.org/wiki/Terminator_3:_Rise_of_the_Machines,,not horror
Terminator Genisys,441,284%,2.8,155,90,20.4%,351,79.6%,440603537,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=484,https://en.wikipedia.org/wiki/Terminator_Genisys,,not horror
Terminator Salvation,371,186%,1.9,200,125,33.8%,246,66.2%,371353001,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=574,"https://en.wikipedia.org/wiki/Terminator_Salvation#:~:text=With%20an%20estimated%20%24200%20million,budget%20%24185%2D%24196%20million).",,not horror
The Adventures of Tintin,374,277%,2.8,135,78,20.8%,296,79.2%,373993951,2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=567,https://en.wikipedia.org/wiki/The_Adventures_of_Tintin_(film),,not horror
The Amazing Spider-Man,758,330%,3.3,230,262,34.6%,496,65.4%,757930663,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=314,https://en.wikipedia.org/wiki/The_Amazing_Spider-Man_(film),,not horror
The Amazing Spider-Man 2,709,242%,2.4,293,203,28.6%,506,71.4%,708982323,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=332,https://en.wikipedia.org/wiki/The_Amazing_Spider-Man_2,,not horror
The Angry Birds Movie,352,483%,4.8,73,108,30.5%,245,69.5%,352333929,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=615,https://en.wikipedia.org/wiki/The_Angry_Birds_Movie,,not horror
The Avengers,1519,690%,6.9,220,623,41.0%,895,59.0%,1518815515,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=208,https://en.wikipedia.org/wiki/The_Avengers_(2012_film),,not horror
The Batman,771,385%,3.9,200,369,47.9%,401,52.1%,770836163,2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=309,"https://en.wikipedia.org/wiki/The_Batman_(film)#:~:text=The%20film%20was%20a%20commercial,highest%2Dgrossing%20film%20of%202022.",,not horror
The Best Exotic Marigold Hotel,137,1368%,13.7,10,46.4,33.9%,90.4,66.1%,136836156,2012,2010's,,,,not horror
The Big Sick,55,1105%,11.1,5,42.9,77.6%,12.4,22.4%,55263649,2017,2010's,,,,not horror
The Blind Side ,309,1066%,10.7,29,256,82.8%,53.2,17.2%,309200000,2009,2000's,,,,not horror
The Bodyguard,411,1644%,16.4,25,122,29.7%,289,70.3%,411046449,1992,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=513,https://www.imdb.com/title/tt0103855/,,not horror
The Boss Baby,528,422%,4.2,125,175,33.2%,353,66.8%,527965936,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=413,"https://en.wikipedia.org/wiki/The_Boss_Baby#:~:text=It%20grossed%20%24528%20million%20worldwide,all%20three%20awards%20to%20Coco.",,not horror
The Bourne Ultimatum,444,404%,4,110,227,51.2%,217,48.8%,444100035,2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=478,https://en.wikipedia.org/wiki/The_Bourne_Ultimatum_(film),,not horror
The Boy Next Door,50,1254%,12.5,4,35.4,70.6%,14.7,29.4%,50163103,2015,2010's,,,,not horror
The Campaign,105,1049%,10.5,10,86.9,82.8%,18,17.2%,104907746,2012,2010's,,,,not horror
The Conjuring,320,1602%,16,20,137,42.9%,183,57.1%,320406242,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=679,https://en.wikipedia.org/wiki/The_Conjuring,,horror
The Conjuring 2,322,805%,8,40,103,31.8%,219,68.2%,321834351,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=673,https://en.wikipedia.org/wiki/The_Conjuring_2,,horror
The Croods,587,336%,3.4,175,187,31.9%,400,68.1%,587235983,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=379,https://en.wikipedia.org/wiki/The_Croods,,not horror
The Curious Case of Benjamin Button,336,224%,2.2,150,128,38.0%,208,62.0%,335802786,2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=645,"https://en.wikipedia.org/wiki/The_Curious_Case_of_Benjamin_Button_(film)#:~:text=The%20film%20was%20a%20box,Supporting%20Actress%20for%20Taraji%20P.",,not horror
The Curse of La Llorona,122.1,1357%,13.6,9,54.7,44.8%,67.4,55.2%,122133739,2019,2010's,,,,horror
The Da Vinci Code,760,608%,6.1,125,218,28.6%,542,71.4%,760006945,2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=312,https://en.wikipedia.org/wiki/The_Da_Vinci_Code_(film),,not horror
The Dark Knight,1006,544%,5.4,185,535,53.2%,471,46.8%,1006234167,2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=249,https://en.wikipedia.org/wiki/The_Dark_Knight,,not horror
The Dark Knight Rises,1081,360%,3.6,300,448,41.4%,633,58.6%,1081169825,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=233,https://en.wikipedia.org/wiki/The_Dark_Knight_Rises,,not horror
The Day After Tomorrow,553,442%,4.4,125,187,33.8%,366,66.2%,552639571,2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=395,https://en.wikipedia.org/wiki/The_Day_After_Tomorrow,,not horror
The Death of Stalin,246,1895%,19,13,8,3.3%,16.6,6.7%,24640027,2017,2010's,,,,not horror
The Devil Inside,102,10176%,101.8,1,53.3,52.3%,48.5,47.7%,101758490,2012,2010's,,,,horror
The Devil Wears Prada,327,933%,9.3,35,125,38.2%,202,61.8%,326706115,2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=666,"https://en.wikipedia.org/wiki/The_Devil_Wears_Prada_(film)#:~:text=The%20film%20grossed%20over%20%24326,grossing%20film%20worldwide%20in%202006.",,not horror
The Exorcist,441,3678%,36.8,12,233,52.8%,208,47.2%,441306145,1973,1970's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=482,https://en.wikipedia.org/wiki/The_Exorcist,,horror
The Expendables 2,315,315%,3.1,100,85,27.0%,230,73.0%,314975955,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=688,https://en.wikipedia.org/wiki/The_Expendables_2,,not horror
The Fate of the Furious,1236,458%,4.6,270,226,18.3%,1010,81.7%,1236005118,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=220,"https://en.wikipedia.org/wiki/The_Fate_of_the_Furious#:~:text=With%20an%20estimated%20production%20budget,Walker's%20death%20in%20November%202013.",,not horror
The Fault in our Stars,307,2560%,25.6,12,124.9,40.6%,182.4,59.4%,307239013,2014,2010's,,,,not horror
The First Purge,133,1023%,10.2,13,68.9,51.8%,64.1,48.2%,133015065,2018,2010's,,,,horror
The Flintstones,342,743%,7.4,46,131,38.2%,211,61.8%,341631208,1994,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=638,https://en.wikipedia.org/wiki/The_Flintstones_(film),,not horror
The Force Awakens,2070,676%,6.8,306,937,45.3%,1133,54.7%,2069521700,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=203,https://en.wikipedia.org/wiki/Star_Wars:_The_Force_Awakens,,not horror
The Fugitive,369,838%,8.4,44,184,49.8%,185,50.2%,368875760,1993,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=579,"https://en.wikipedia.org/wiki/The_Fugitive_(1993_film)#:~:text=The%20Fugitive%20premiered%20in%20Westwood,against%20a%20%2444%20million%20budget.",,not horror
The Gallows,38,38164%,381.6,0.1,22.8,59.6%,15.4,40.4%,38164410,2015,2010's,,,,horror
The Gift,59,1180%,11.8,5,43.8,74.2%,15.2,25.8%,58978653,2015,2010's,,,,not horror
The Golden Compass,372,207%,2.1,180,70,18.8%,302,81.2%,372234864,2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=571,"https://en.wikipedia.org/wiki/The_Golden_Compass_(film)#:~:text=With%20a%20production%20budget%20of,the%20film%20in%20post%2Dproduction.",,not horror
The Good Dinosaur,332,166%,1.7,200,123,37.0%,209,63.0%,332207671,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=655,https://en.wikipedia.org/wiki/The_Good_Dinosaur,,not horror
The Great Gatsby,354,186%,1.9,190,145,41.0%,209,59.0%,353659851,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=609,https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film),,not horror
The Greatest Showman,436,519%,5.2,84,174,40.0%,261,60.0%,435732529,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=487,"https://en.wikipedia.org/wiki/The_Greatest_Showman#:~:text=Reception-,Box%20office,production%20budget%20of%20%2484%20million.",,not horror
The Grinch,513,684%,6.8,75,271,52.9%,241,47.1%,512858819,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=423,https://www.google.com/search?q=the+grinch+budget&oq=the+grinch+budget&aqs=chrome..69i57j0i512j0i22i30l4.1981j0j4&sourceid=chrome&ie=UTF-8,,not horror
The Hangover,469,1341%,13.4,35,277,59.1%,192,40.9%,469328079,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=455,https://en.wikipedia.org/wiki/The_Hangover,,not horror
The Hangover Part II,587,733%,7.3,80,254,43.4%,332,56.6%,586764305,2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=380,"https://en.wikipedia.org/wiki/The_Hangover_Part_II#:~:text=The%20Hangover%20Part%20II%20grossed,a%20budget%20of%20%2480%20million.",,not horror
The Hangover Part III,362,351%,3.5,103,112,31.0%,250,69.0%,362000072,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=593,"https://en.wikipedia.org/wiki/The_Hangover_Part_III#:~:text=The%20Hangover%20Part%20III%20grossed,a%20budget%20of%20%24103%20million.",,not horror
The Hobbit: An Unexpected Journey,1017,565%,5.7,180,303,29.8%,714,70.2%,1017030651,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=248,https://en.wikipedia.org/wiki/The_Hobbit:_An_Unexpected_Journey,,not horror
The Hobbit: The Battle of the Five Armies,962,321%,3.2,300,255,26.5%,707,73.5%,962201338,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=255,https://en.wikipedia.org/wiki/The_Hobbit:_The_Battle_of_the_Five_Armies,,not horror
The Hobbit: The Desolation of Smaug,959,384%,3.8,250,258,26.9%,701,73.1%,959027992,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=257,https://www.google.com/search?q=hobbit+desolation+of+smaug+budget&ei=EJ-MY73DGreBhbIPr82x2A4&ved=0ahUKEwi9i4Kxh-D7AhW3QEEAHa9mDOsQ4dUDCA8&uact=5&oq=hobbit+desolation+of+smaug+budget&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIFCAAQgAQyBQgAEIYDMgUIABCGAzIFCAAQhgM6CggAEEcQ1gQQsAM6BwguEEMQ6gQ6BQgAEJECOgUILhCRAjoECC4QQzoLCAAQgAQQsQMQgwE6CAguELEDEIMBOhEILhCABBCxAxCDARDHARDRAzoICC4QgAQQ1AI6EgguEEMQ6gQQ3AQQ3gQQ3wQYAToKCC4QsQMQQxDqBDoECAAQQzoHCC4Q1AIQQzoVCC4QsQMQQxDqBBDcBBDeBBDfBBgBOggILhCPARDqAjoICAAQjwEQ6gI6DgguEMcBEK8BEJECEOoEOgoIABCxAxDJAxBDOgcIABCxAxBDOgoILhDHARCvARBDOhkILhDHARCvARCRAhDqBBDcBBDeBBDgBBgBOgsILhCABBCxAxCDAToUCC4QgAQQsQMQgwEQxwEQ0QMQ1AI6CAguEIAEELEDOggILhDUAhCABDoSCC4QQxDqBBDcBBDeBBDgBBgBOhAILhCxAxCDARDHARDRAxBDOgoILhCxAxDUAhBDOgoILhCxAxCDARBDOhMILhCxAxCDARDHARDRAxBDEOoEOh4ILhCxAxCDARDHARDRAxBDEOoEENwEEN4EEOAEGAE6DQguENQCELEDEEMQ6gQ6BwguELEDEEM6EAguELEDEMcBEK8BENQCEEM6GAguENQCELEDEEMQ6gQQ3AQQ3gQQ4AQYAToQCC4QrwEQxwEQ1AIQsQMQQzoLCC4QxwEQrwEQkQI6FQguELEDEEMQ6gQQ3AQQ3gQQ4AQYAToICC4QkQIQ6gQ6EwguEJECEOoEENwEEN4EEOAEGAE6BwgAEIAEEAo6BggAEBYQHjoICAAQFhAeEA86BQghEKABOgcILhCABBAKOgUILhCABDoICC4QgAQQ6gQ6EwguEIAEEOoEENwEEN4EEOAEGAFKBAhBGABKBAhGGAFQ5ARYhVJggFRoGHABeACAAaIBiAG6GJIBBDM3LjOYAQCgAQGwAQrIAQjAAQHaAQYIARABGBQ&sclient=gws-wiz-serp,,not horror
The Hunchback of Notre Dame,325,465%,4.6,70,100,30.8%,225,69.2%,325338851,1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=668,https://en.wikipedia.org/wiki/The_Hunchback_of_Notre_Dame_(1996_film),,not horror
The Hunger Games,694,890%,8.9,78,408,58.8%,286,41.2%,694394724,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=337,https://en.wikipedia.org/wiki/The_Hunger_Games_(film),,not horror
The Hunger Games: Catching Fire,865,1109%,11.1,78,425,49.1%,440,50.9%,865011746,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=279,,,not horror
The Imitation Game,220,1571%,15.7,14,91.1,41.4%,128.9,58.6%,219979959,2014,2010's,,,,not horror
The Incredibles,632,436%,4.4,145,261,41.4%,370,58.6%,631607053,2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=358,https://en.wikipedia.org/wiki/The_Incredibles,,not horror
The Jungle Book (2016),967,546%,5.5,177,364,37.7%,603,62.3%,966554929,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=253,https://en.wikipedia.org/wiki/The_Jungle_Book_(2016_film),,not horror
The Karate Kid,359,898%,9,40,177,49.2%,183,50.8%,359126022,2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=598,https://en.wikipedia.org/wiki/The_Karate_Kid_(2010_film),,not horror
